,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,4614011,4373184,4726253,4542806,5078615,4045065,4195093,309431
Closeness,24778,5078615,4726253,1056959,5149250,4239830,4195093,5043148,5066446,5075802
Betweenness,24778,4987284,5056151,1056959,4835062,4614011,4373184,4872256,4048274,4726253
