,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,3941484,3183164,4468318,4323414,4550956,4045065,2111614,3483370
Closeness,24778,1056959,4045065,724786,3719980,4576659,4242918,4558273,4323414,4468318
Betweenness,24778,4100740,1056959,3941484,4293378,4323414,3282302,3483370,2508019,4567824
