11-04 to 11-10,0,1,2,3,4,5,6,7,8,9
K,24778,4726253,1056959,4614011,3183164,4373184,4045065,4616311,2111614,1715684
Closeness,24778,3292719,4726253,1056959,4045065,4616311,4220239,3473401,4790043,4600610
Betweenness,24778,4616151,3292719,4890240,4888673,4880791,4884898,4878878,4884635,4870651
Eigenvector,24778,3233393,4086210,4086705,4778790,717202,4293378,3181659,4790043,4868615
