,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,3941484,3483370,3375464,4163907,3183164,4158569,2508019,3697450
Closeness,24778,4158569,1056959,4100740,4163907,3375464,4203118,3508127,4213122,4145480
Betweenness,24778,4100740,1056959,4048274,3941484,2881501,3375464,3706692,4197474,4170002
