,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,3941484,4063409,3697450,4158737,4045065,4345334,3697902,3483370
Closeness,24778,1056959,4045065,4333967,3697450,4322437,4045959,4100740,4345334,4063409
Betweenness,24778,4100740,1056959,4048274,3941484,4293378,3706692,4170002,3483370,4239830
