,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,4614011,4726253,3183164,3941484,4045065,4373184,4688560,4158737
Closeness,24778,1056959,3372007,4739819,4701038,3483370,4733736,4688560,3257030,4722170
Betweenness,24778,4616151,4614011,4293378,1056959,4726253,4048274,3183164,4459315,4373184
