,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,4632841,3941484,4158737,4615773,4045065,4323414,2508019,4373184
Closeness,24778,3941484,1056959,4045065,4615773,4614011,4158737,2508019,4324117,4323414
Betweenness,24778,4632841,4616151,1056959,4293378,3941484,4323414,3282302,2338855,3938803
