09-30 to 10-06,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,3941484,4158737,3697450,3183164,4327828,4045065,3483370,2036888
Closeness,24778,1056959,4045065,4433197,4242918,3244581,4039782,4039459,4413103,4394359
Betweenness,24778,4100740,1056959,3941484,4293378,4048274,3697450,3938803,3483370,4327828
Eigenvector,46606,3456919,3454412,24778,4411214,4155875,4416204,4086705,4293378,3233393
