,0,1,2,3,4,5,6,7,8,9
K,24778,4614011,1056959,5314986,4195093,4987284,4045065,3697902,3183164,309431
Closeness,24778,4614011,4195093,5043148,5298660,1056959,5056151,5542305,5529579,5547047
Betweenness,24778,4987284,5056151,4614011,4835062,1056959,4195093,5314986,4048274,5413973
