,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,3941484,4136701,4192207,4045065,4146640,3183164,4158737,4464227
Closeness,24778,3941484,1056959,4045065,4449740,4405461,4136701,3257030,4100740,4477425
Betweenness,24778,4100740,1056959,3941484,4146640,3938803,4192207,4293378,4410033,4423404
