,0,1,2,3,4,5,6,7,8,9
K,24778,1056959,4726253,4614011,4373184,3183164,4045065,4654853,252450,4616311
Closeness,24778,4045065,4872256,1056959,4951022,4971729,4350993,4654853,4925052,3530033
Betweenness,24778,4616151,4726253,4835062,1056959,4872256,4373184,4987284,4614011,4048274
